Age[ka];Depth[mm];d18O[permil ‰]
40.47;289.73;-6.95
40.49;289.83;-7.63
40.5;289.93;-7.76
40.52;290.03;-7.73
40.53;290.13;-7.08
40.55;290.23;-6.76
40.56;290.33;-6.78
40.57;290.43;-6.77
40.59;290.53;-6.9
40.62;290.73;-6.6
40.63;290.83;-6.77
40.65;290.93;-6.98
40.66;291.03;-6.82
40.68;291.13;-6.72
40.69;291.23;-6.82
40.71;291.33;-6.76
40.72;291.43;-6.58
40.74;291.53;-6.31
40.75;291.63;-6.49
40.77;291.73;-6.44
40.78;291.83;-6.36
40.8;291.93;-6.56
40.81;292.03;-6.49
40.82;292.13;-6.07
40.84;292.23;-6.15
40.85;292.33;-6.11
40.87;292.43;-5.96
40.88;292.53;-6.09
40.9;292.63;-6.03
40.91;292.73;-5.95
40.93;292.83;-5.82
40.94;292.93;-5.9
41,00;293.33;-5.7
41.02;293.43;-5.85
41.03;293.53;-5.92
41.05;293.63;-5.99
41.06;293.73;-6.42
41.07;293.83;-6.05
41.09;293.93;-6.01
41.1;294.03;-6.03
41.12;294.13;-6.02
41.13;294.23;-6.01
41.15;294.33;-6.1
41.16;294.43;-6.14
41.18;294.53;-7.75
41.19;294.63;-7.01
41.21;294.73;-6.99
41.22;294.83;-7.13
41.24;294.93;-7.05
41.25;295.03;-7.46
41.27;295.13;-7.06
41.28;295.23;-7.38
41.3;295.33;-7.37
41.31;295.43;-7.65
41.32;295.53;-7.07
41.34;295.63;-6.82
41.35;295.73;-6.87
41.37;295.83;-7.37
41.38;295.93;-7.44
41.4;296.03;-7.08
41.41;296.13;-6.47
41.43;296.23;-6.47
41.44;296.33;-6.6
41.46;296.43;-6.78
41.47;296.53;-7.01
41.49;296.63;-6.89
41.5;296.73;-7.05
41.52;296.83;-6.99
41.53;296.93;-7.1
41.55;297.03;-7.28
41.56;297.13;-7.4
41.57;297.23;-7.4
41.59;297.33;-7.6
41.6;297.43;-7.51
41.62;297.53;-7.92
41.63;297.63;-8.15
41.65;297.73;-8.14
41.66;297.83;-8.16
41.68;297.93;-8.26
41.69;298.03;-8.22
41.71;298.13;-8.51
41.72;298.23;-8.11
41.74;298.33;-7.98
41.75;298.43;-7.88
41.77;298.53;-8.12
41.8;298.73;-8.52
41.81;298.83;-7.77
41.82;298.93;-7.86
41.84;299.03;-8.15
41.85;299.13;-8.11
41.87;299.23;-8.23
41.9;299.33;-8.08
41.93;299.43;-7.92
41.96;299.53;-7.95
41.98;299.63;-7.78
42.01;299.73;-8.07
42.04;299.83;-7.84
42.07;299.93;-7.9
42.13;300.13;-7.74
42.16;300.23;-7.78
42.19;300.33;-7.73
42.22;300.43;-7.66
42.24;300.53;-7.82
42.27;300.63;-8.05
42.3;300.73;-7.94
42.33;300.83;-7.71
42.36;300.93;-7.75
42.39;301.03;-7.72
42.42;301.13;-8.3
42.45;301.23;-7.84
42.48;301.33;-7.88
42.5;301.43;-8.54
42.53;301.53;-7.4
42.56;301.63;-7.39
42.59;301.73;-7.6
42.62;301.83;-7.19
42.65;301.93;-7.2
42.68;302.03;-7.12
42.71;302.13;-6.92
42.74;302.23;-7.21
42.76;302.33;-6.53
42.79;302.43;-6.55
42.82;302.53;-6.88
42.85;302.63;-6.85
42.88;302.73;-6.72
42.91;302.83;-6.36
42.94;302.93;-6.93
42.97;303.03;-6.78
43,00;303.13;-6.93
43.02;303.23;-6.93
43.05;303.33;-7.01
43.08;303.43;-6.97
43.11;303.53;-7.05
43.14;303.63;-7.09
43.17;303.73;-6.98
43.2;303.83;-7.02
43.23;303.93;-7.25
43.26;304.03;-6.8
43.28;304.13;-6.64
43.31;304.23;-6.76
43.34;304.33;-6.55
43.37;304.43;-6.83
43.4;304.53;-6.85
43.43;304.63;-6.82
43.46;304.73;-6.69
43.49;304.83;-6.78
43.52;304.93;-6.72
43.54;305.03;-6.81
43.57;305.13;-6.84
43.6;305.23;-6.78
43.63;305.33;-6.86
43.66;305.43;-6.95
43.69;305.53;-6.87
43.72;305.63;-6.72
43.75;305.73;-6.83
43.78;305.83;-6.81
43.8;305.93;-6.79
43.83;306.03;-6.71
43.86;306.13;-6.31
43.89;306.23;-6.23
43.92;306.33;-6.14
43.95;306.43;-6.02
43.98;306.53;-6.32
44.01;306.63;-6.44
44.04;306.73;-7.08
44.06;306.83;-7.3
44.09;306.93;-7.27
44.12;307.03;-7.38
44.15;307.13;-7.21
44.18;307.23;-7.33
44.21;307.33;-7.43
44.24;307.43;-7.34
44.27;307.53;-7.46
44.29;307.63;-7.4
44.32;307.73;-7.78
44.35;307.83;-7.66
44.38;307.93;-7.39
44.41;308.03;-7.29
44.44;308.13;-7.29
44.47;308.23;-7.37
44.5;308.33;-7.03
44.53;308.43;-6.81
44.55;308.53;-6.89
44.61;308.73;-6.51
44.64;308.83;-6.25
44.67;308.93;-6.41
44.7;309.03;-6.48
44.73;309.13;-6.43
44.76;309.23;-6.19
44.79;309.33;-6.15
44.81;309.43;-5.94
44.84;309.53;-5.78
44.87;309.63;-5.87
44.9;309.73;-6.12
44.93;309.83;-6.15
44.96;309.93;-6.31
44.99;310.03;-6.54
45.02;310.13;-6.55
45.05;310.23;-6.61
45.07;310.33;-6.1
45.1;310.43;-6.17
45.13;310.53;-6.33
45.16;310.63;-6.98
45.19;310.73;-6.29
45.22;310.83;-6.08
45.25;310.93;-5.76
45.28;311.03;-6.16
45.31;311.13;-6.33
45.33;311.23;-6.61
45.36;311.33;-6.44
45.39;311.43;-6.1
45.42;311.53;-6.54
45.45;311.63;-6.04
45.48;311.73;-6.09
45.51;311.83;-6.16
45.54;311.93;-6.28
45.57;312.03;-6.41
45.59;312.13;-6.48
45.62;312.23;-6.48
45.65;312.33;-6.16
45.68;312.43;-7.25
45.71;312.53;-6.34
45.74;312.63;-6.52
45.77;312.73;-6.55
45.8;312.83;-6.09
45.83;312.93;-5.68
45.85;313.03;-6.1
45.88;313.13;-5.6
45.91;313.23;-6.42
45.94;313.33;-5.69
45.97;313.43;-6.68
46,00;313.53;-6.27
46.03;313.63;-6.43
46.07;313.73;-6.8
46.12;313.83;-6.86
46.17;313.93;-6.24
46.21;314.03;-6.53
46.26;314.13;-5.65
46.3;314.23;-5.57
46.35;314.33;-5.72
46.4;314.43;-5.54
46.44;314.53;-5.72
46.49;314.63;-5.7
46.54;314.73;-5.94
46.58;314.83;-5.83
46.63;314.93;-5.88
46.67;315.03;-5.8
46.72;315.13;-6.51
46.77;315.23;-6.14
46.81;315.33;-6.26
46.86;315.43;-6.15
46.9;315.53;-6.17
46.95;315.63;-5.98
47,00;315.73;-7.14
47.09;315.93;-6.3
47.13;316.03;-6.54
47.18;316.13;-6.25
47.23;316.23;-6.27
47.27;316.33;-6.21
47.32;316.43;-6.26
47.37;316.53;-7.19
47.41;316.63;-6.36
47.46;316.73;-7.18
47.5;316.83;-6.18
47.55;316.93;-6.7
47.6;317.03;-6.17
47.64;317.13;-6.31
47.69;317.23;-5.74
47.73;317.33;-6.31
47.78;317.43;-5.99
47.83;317.53;-6.32
47.87;317.63;-6.34
47.92;317.73;-6.18
47.97;317.83;-6.48
48.01;317.93;-6.28
48.06;318.03;-6.25
48.1;318.13;-7.22
48.2;318.33;-6.15
48.24;318.43;-6.1
48.29;318.53;-6.05
48.33;318.63;-6.35
48.38;318.73;-6.62
48.43;318.83;-6.58
48.47;318.93;-6.47
48.52;319.03;-6.74
48.56;319.13;-6.5
48.61;319.23;-6.98
48.66;319.33;-6.28
48.7;319.43;-6.59
48.75;319.53;-6.72
48.8;319.63;-6.5
48.84;319.73;-6.34
48.89;319.83;-6.09
48.98;320.03;-6.08
49.03;320.13;-6.04
49.07;320.23;-5.95
49.12;320.33;-5.46
49.16;320.43;-5.12
49.21;320.53;-5.23
49.26;320.63;-4.62
49.3;320.73;-4.47
49.35;320.83;-4.76
49.44;321.03;-6.34
49.49;321.13;-6.19
49.53;321.23;-5.93
49.58;321.33;-5.68
49.63;321.43;-6.13
49.67;321.53;-5.11
49.72;321.63;-5.57
49.76;321.73;-5.11
49.81;321.83;-5.33
49.86;321.93;-5.75
49.9;322.03;-6,00
49.95;322.13;-6.27
49.99;322.23;-6.04
50.04;322.33;-6.25
50.09;322.43;-5.71
50.13;322.53;-5.69
50.18;322.63;-5.79
50.23;322.73;-5.55
50.27;322.83;-5.58
50.32;322.93;-5.35
50.36;323.03;-5.55
50.41;323.13;-5.48
50.46;323.23;-5.23
50.5;323.33;-4.95
50.55;323.43;-5.18
50.59;323.53;-5.17
50.64;323.63;-5.28
50.69;323.73;-5.51
50.73;323.83;-5.84
50.78;323.93;-5.33
50.83;324.03;-5.61
50.87;324.13;-6.3
50.92;324.23;-5.23
50.96;324.33;-5.39
51.01;324.43;-5.47
51.06;324.53;-5.82
51.1;324.63;-6.05
51.15;324.73;-5.77
51.19;324.83;-6.33
51.24;324.93;-5.62
51.29;325.03;-5.03
51.33;325.13;-5.47
51.38;325.23;-5.43
51.42;325.33;-6.17
51.47;325.43;-5.54
51.52;325.53;-5.95
51.56;325.63;-5.7
51.61;325.73;-5.69
51.66;325.83;-5.65
51.7;325.93;-5.61
51.75;326.03;-5.65
51.8;326.15;-5.49
51.86;326.27;-6.11
51.91;326.39;-5.9
51.97;326.51;-5.65
52.02;326.63;-5.52
52.08;326.75;-5.86
52.14;326.87;-5.89
52.19;326.99;-5.7
52.25;327.11;-5.46
52.3;327.23;-5.59
52.36;327.35;-5.96
52.41;327.47;-5.69
52.47;327.59;-5.52
52.52;327.71;-5.62
52.58;327.83;-5.53
52.63;327.95;-5.03
52.69;328.07;-5.36
52.74;328.19;-4.89
52.8;328.31;-4.8
52.85;328.43;-4.93
52.91;328.55;-4.87
52.97;328.67;-5.01
53.02;328.79;-5,00
53.08;328.91;-4.95
53.13;329.03;-5.24
53.19;329.15;-5.13
53.24;329.27;-5.61
53.3;329.39;-5.49
53.35;329.51;-5.73
53.41;329.63;-6.52
53.46;329.75;-5.9
53.5;329.87;-5.82
53.55;329.99;-6.78
53.6;330.11;-6.66
53.65;330.23;-6,00
53.7;330.35;-6.19
53.75;330.47;-6.17
53.79;330.59;-6.27
53.84;330.71;-6.66
53.89;330.83;-6.76
53.94;330.95;-6.98
53.99;331.07;-6.22
54.04;331.19;-6.21
54.08;331.31;-6.33
54.13;331.43;-6.36
54.18;331.55;-6.83
54.23;331.67;-6.94
54.28;331.79;-7.11
54.32;331.91;-7.19
54.37;332.03;-7.08
54.42;332.15;-6.92
54.47;332.27;-7.38
54.52;332.39;-7.03
54.57;332.51;-7.61
54.61;332.63;-6.59
54.66;332.75;-6.46
54.71;332.87;-6.53
54.76;332.99;-7.08
54.81;333.11;-6.22
54.86;333.23;-7,00
54.9;333.35;-6.23
54.95;333.47;-6.48
55,00;333.59;-6.31
55.05;333.71;-6.43
55.1;333.83;-6.46
55.14;333.95;-6.26
55.19;334.07;-6.51
55.24;334.19;-6.9
55.29;334.31;-6.96
55.34;334.43;-7.2
55.39;334.55;-7.03
55.43;334.67;-7.03
55.48;334.79;-6.98
55.53;334.91;-6.99
55.58;335.03;-6.95
55.63;335.15;-6.75
55.68;335.27;-6.6
55.72;335.39;-6.15
55.77;335.51;-5.71
55.82;335.63;-5.6
55.87;335.75;-5.41
55.93;335.87;-5.66
56,00;335.99;-5.57
56.06;336.11;-5.41
56.13;336.23;-5.42
56.19;336.35;-6.22
56.26;336.47;-6.48
56.32;336.59;-6.36
56.39;336.71;-6.8
56.45;336.83;-6.87
56.52;336.95;-6.72
56.58;337.07;-6.61
56.65;337.19;-6.08
56.71;337.31;-5.68
56.78;337.43;-5.22
56.84;337.55;-5,00
56.91;337.67;-5.17
56.97;337.79;-5.31
57.03;337.91;-5.29
57.1;338.03;-5.25
57.16;338.15;-5.21
57.23;338.27;-5.39
57.29;338.39;-5.27
57.36;338.51;-5.17
57.42;338.63;-5.04
57.49;338.75;-5.07
57.55;338.87;-5.09
57.62;338.99;-4.84
57.68;339.11;-4.9
57.75;339.23;-4.94
57.81;339.35;-5,00
57.88;339.47;-5.6
57.94;339.59;-5.54
58.01;339.71;-5.93
58.07;339.83;-5.92
58.14;339.95;-5.85
58.2;340.07;-5.85
58.27;340.19;-5.89
58.33;340.31;-6.2
58.4;340.43;-6.65
58.46;340.55;-6.95
58.53;340.67;-6.89
58.59;340.79;-7.15
58.66;340.91;-6.91
58.72;341.03;-6.54
58.78;341.15;-5.92
58.85;341.27;-5.54
58.91;341.39;-5.27
58.98;341.51;-5.25
59.04;341.63;-5.29
59.11;341.75;-5.23
59.17;341.87;-5.2
59.24;341.99;-5.33
59.3;342.11;-5.73
59.37;342.23;-6.17
59.43;342.35;-6.68
59.5;342.47;-6.22
59.56;342.59;-6.06
59.63;342.71;-5.94
59.69;342.83;-5.62
59.76;342.95;-5.32
59.82;343.07;-5.56
59.89;343.19;-5.88
59.95;343.31;-6.51
60.02;343.43;-5.42
60.08;343.55;-5.52
60.15;343.67;-5.35
60.21;343.79;-5.81
60.28;343.91;-5.4
60.34;344.03;-5.56
60.47;344.27;-5.69
60.53;344.39;-5.56
60.56;344.51;-4.56
60.58;344.63;-4.26
60.6;344.75;-4.21
60.63;344.87;-4.48
60.65;344.99;-4.36
60.67;345.11;-4.1
60.69;345.23;-4.29
60.72;345.35;-4.3
60.74;345.47;-4.64
60.76;345.59;-4.91
60.78;345.71;-4.94
60.81;345.83;-4.92
60.83;345.95;-4.95
60.85;346.07;-4.94
60.88;346.19;-4.41
60.9;346.31;-4.62
60.92;346.43;-5.66
60.94;346.55;-5.67
60.97;346.67;-5.38
60.99;346.79;-5.52
61.01;346.91;-5.88
61.03;347.03;-6.29
61.06;347.15;-5.69
61.08;347.27;-5.78
61.1;347.39;-6.02
61.12;347.51;-6.05
61.15;347.63;-6.07
61.17;347.75;-6.39
61.19;347.87;-6.58
61.22;347.99;-6.34
61.24;348.11;-6,00
61.26;348.23;-5.69
61.28;348.35;-5.86
61.31;348.47;-5.8
61.33;348.59;-6.56
61.35;348.71;-6.6
61.37;348.83;-6.82
61.4;348.95;-6.9
61.42;349.07;-6.88
61.44;349.19;-6.29
61.47;349.31;-6.98
61.49;349.43;-6.55
61.51;349.55;-7,00
61.53;349.67;-7.1
61.56;349.79;-7.19
61.58;349.91;-7.01
61.6;350.03;-7.18
61.62;350.15;-7.33
61.67;350.39;-7.53
61.69;350.51;-7.53
61.72;350.63;-7.1
61.74;350.75;-7.35
61.76;350.87;-7.1
61.78;350.99;-7.56
61.81;351.11;-7.19
61.83;351.23;-7.43
61.85;351.35;-7.5
61.87;351.47;-7.42
61.9;351.59;-7.57
61.92;351.71;-7.48
61.94;351.83;-7.55
61.96;351.95;-7.15
61.99;352.07;-7.15
62.01;352.19;-7.21
62.03;352.31;-7.05
62.06;352.43;-6.82
62.08;352.55;-7.08
62.1;352.67;-6.72
62.12;352.79;-6.52
62.15;352.91;-6.62
62.17;353.03;-6.46
62.19;353.15;-6.83
62.21;353.27;-6.94
62.24;353.39;-6.88
62.26;353.51;-6.85
62.28;353.63;-6.8
62.31;353.75;-7.1
62.33;353.87;-7.26
62.35;353.99;-7.04
62.37;354.11;-7.18
62.4;354.23;-7.18
62.42;354.35;-6.5
62.44;354.47;-6.37
62.46;354.59;-6.64
62.49;354.71;-6.3
62.51;354.83;-6.59
62.53;354.95;-6.32
62.55;355.07;-6.5
62.58;355.19;-6.98
62.6;355.31;-7.33
62.62;355.43;-7.3
62.65;355.55;-7.51
62.67;355.67;-7.52
62.69;355.79;-7.74
62.71;355.91;-7.98
62.74;356.03;-7.98
62.76;356.15;-8.09
62.8;356.39;-7.66
62.83;356.51;-7.65
62.85;356.63;-7.77
62.87;356.75;-7.77
62.9;356.87;-7.67
62.92;356.99;-7.6
62.94;357.11;-8.23
62.96;357.23;-7.83
62.99;357.35;-7.69
63.01;357.47;-7.79
63.03;357.59;-7.82
63.05;357.71;-8.03
63.08;357.83;-7.67
63.1;357.95;-7.37
63.12;358.07;-8.35
63.15;358.19;-8.15
63.17;358.31;-8.43
63.19;358.43;-8.13
63.21;358.55;-8.16
63.24;358.67;-8.36
63.26;358.79;-8.4
63.28;358.91;-8.44
63.3;359.03;-8.63
63.33;359.15;-8.85
63.35;359.27;-8.78
63.37;359.39;-8.73
63.39;359.51;-9.17
63.42;359.63;-9.04
63.44;359.75;-9.24
63.46;359.87;-8.79
63.49;359.99;-9.26
63.51;360.11;-8.76
63.53;360.23;-8.82
63.55;360.35;-9.05
63.58;360.47;-8.86
63.6;360.59;-8.79
63.62;360.71;-8.81
63.64;360.83;-9.15
63.67;360.95;-9.01
63.69;361.07;-9.11
63.71;361.19;-9.14
63.74;361.31;-8.7
63.76;361.43;-8.92
63.78;361.55;-8.77
63.8;361.67;-8.66
63.83;361.79;-8.68
63.85;361.91;-8.37
63.87;362.03;-8.64
63.89;362.15;-9.24
63.92;362.27;-8.53
63.94;362.39;-8.42
63.96;362.51;-8.5
63.98;362.63;-8.38
64.01;362.75;-8.76
64.03;362.87;-8.86
64.05;362.99;-8.36
64.08;363.11;-8.72
64.1;363.23;-8.45
64.12;363.35;-8.41
64.14;363.47;-8.54
64.17;363.59;-9.02
64.19;363.71;-8.77
64.23;363.95;-8.66
64.26;364.07;-8.84
64.28;364.19;-8.47
64.3;364.31;-8.71
64.33;364.43;-8.43
64.35;364.55;-8.91
64.37;364.67;-8.54
64.39;364.79;-8.73
64.42;364.91;-10.02
64.44;365.03;-9.22
64.46;365.15;-8.73
64.48;365.27;-8.54
64.51;365.39;-4.9
64.53;365.51;-9.14
64.56;365.63;-8.88
64.58;365.75;-9.02
64.61;365.87;-9.08
64.63;365.99;-8.85
64.66;366.11;-9.28
64.69;366.23;-9.81
64.71;366.35;-9.37
64.74;366.47;-9.07
64.76;366.59;-9.15
64.79;366.71;-9.37
64.81;366.83;-9.88
64.84;366.95;-9.48
64.86;367.07;-9.16
64.89;367.19;-9.04
64.92;367.31;-9.01
64.94;367.43;-8.95
64.97;367.55;-8.48
64.99;367.67;-8.72
65.02;367.79;-8.58
65.04;367.91;-8.87
65.07;368.03;-8.85
65.09;368.15;-9.29
65.12;368.27;-9.36
65.15;368.39;-8.75
65.17;368.51;-9.1
65.2;368.63;-8.87
65.22;368.75;-8.71
65.25;368.87;-8.29
65.27;368.99;-8.28
65.3;369.11;-8.33
65.32;369.23;-8.39
65.35;369.35;-8.43
65.38;369.47;-8.62
65.4;369.59;-9.03
65.43;369.71;-8.75
65.45;369.83;-8.49
65.48;369.95;-8.99
65.5;370.07;-8.65
65.53;370.19;-8.68
65.55;370.31;-8.6
65.58;370.43;-8.77
65.61;370.55;-9.34
65.63;370.67;-9.52
65.66;370.79;-8.81
65.68;370.91;-8.8
65.71;371.03;-8.71
65.73;371.15;-8.73
65.76;371.27;-8.69
65.78;371.39;-8.7
65.81;371.51;-8.69
65.84;371.63;-8.41
65.86;371.75;-8.54
65.89;371.87;-8.88
65.91;371.99;-8.63
65.94;372.11;-8.96
65.96;372.23;-10.13
65.99;372.35;-8.77
66.01;372.47;-8.79
66.04;372.59;-8.79
66.07;372.71;-10.33
66.09;372.83;-9.36
66.12;372.95;-8.97
66.14;373.07;-9.25
66.17;373.19;-9.89
66.19;373.31;-9.49
66.22;373.43;-12.68
66.24;373.55;-9.17
66.27;373.67;-9.03
66.3;373.79;-11.17
66.32;373.91;-9.24
66.35;374.03;-10.35
66.37;374.15;-9.17
66.4;374.27;-10.14
66.42;374.39;-9.27
66.45;374.51;-10.76
66.47;374.63;-9.39
66.5;374.75;-8.92
66.52;374.87;-10.8
66.55;374.99;-9.92
66.58;375.11;-12.68
66.6;375.23;-10.37
66.63;375.35;-9.7
66.65;375.47;-9.73
66.68;375.59;-10.41
66.7;375.71;-10.42
66.73;375.83;-10.65
66.75;375.95;-12.24
66.78;376.07;-9.71
66.81;376.19;-10.84
66.83;376.31;-9.74
66.86;376.43;-10.77
66.88;376.55;-9.26
66.91;376.67;-9.27
66.93;376.79;-9.13
66.96;376.91;-9.13
66.98;377.03;-9.28
67.01;377.15;-9.38
67.04;377.27;-9.22
67.06;377.39;-8.83
67.09;377.51;-9.06
67.11;377.63;-9.19
67.14;377.75;-9.45
67.16;377.87;-9.58
67.19;377.99;-9.38
67.21;378.11;-9.07
67.24;378.23;-9.24
67.27;378.35;-8.87
67.29;378.47;-8.86
67.32;378.59;-8.48
67.34;378.71;-8.65
67.37;378.83;-8.87
67.39;378.95;-8.99
67.42;379.07;-8.9
67.44;379.19;-9.06
67.47;379.31;-9.18
67.5;379.43;-9.27
67.52;379.55;-8.95
67.55;379.67;-9.47
67.57;379.79;-9.56
67.6;379.91;-9.18
67.62;380.03;-9.2
67.65;380.15;-8.87
67.67;380.27;-9.03
67.7;380.39;-8.93
67.73;380.51;-8.65
67.75;380.63;-8.79
67.78;380.75;-8.67
67.8;380.87;-8.68
67.83;380.99;-8.77
67.85;381.11;-8.58
67.88;381.23;-8.44
67.9;381.35;-8.49
67.93;381.47;-8.51
67.96;381.59;-8.67
67.98;381.71;-8.89
68.01;381.83;-10.34
68.03;381.95;-10.5
68.06;382.07;-10.89
68.08;382.19;-10.98
68.11;382.31;-11.36
68.13;382.43;-11.17
68.16;382.55;-11.09
68.19;382.67;-11.24
68.21;382.79;-11.46
68.24;382.91;-11.11
68.26;383.03;-11.49
68.29;383.15;-11.76
68.31;383.27;-11.34
68.34;383.39;-11.91
68.36;383.51;-11.29
68.39;383.63;-11.74
68.42;383.75;-8.26
68.44;383.87;-8.36
68.47;383.99;-8.41
68.49;384.11;-8.36
68.52;384.23;-8.26
68.54;384.35;-8.31
68.57;384.47;-8.06
68.59;384.59;-8.12
68.62;384.71;-8.08
68.65;384.83;-8.04
68.67;384.95;-7.91
68.7;385.07;-7.99
68.72;385.19;-7.83
68.75;385.31;-8.11
68.77;385.43;-7.83
68.8;385.55;-8.18
68.82;385.67;-8.14
68.85;385.79;-8.08
68.88;385.91;-8.01
68.9;386.03;-8.33
68.93;386.15;-8.26
68.95;386.27;-8.43
68.98;386.39;-8.49
69,00;386.51;-8.7
69.03;386.63;-8.99
69.05;386.75;-9.06
69.08;386.87;-9.11
69.1;386.99;-9.15
69.13;387.11;-9.31
69.16;387.23;-9.24
69.18;387.35;-9.33
69.21;387.47;-9.17
69.23;387.59;-9.25
69.26;387.71;-9.19
69.31;387.95;-9.34
69.33;388.07;-9.34
69.36;388.19;-9.22
69.39;388.31;-9.36
69.41;388.43;-9.41
69.44;388.55;-9.48
69.46;388.67;-9.5
69.49;388.79;-9.47
69.51;388.91;-9.4
69.54;389.03;-9.43
69.56;389.15;-9.47
69.59;389.27;-9.39
69.62;389.39;-9.24
69.64;389.51;-9.15
69.67;389.63;-9.1
69.69;389.75;-9.18
69.71;389.87;-9.39
69.73;389.99;-9.44
69.76;390.11;-8.88
69.78;390.23;-9.02
69.8;390.35;-9.37
69.82;390.47;-8.86
69.84;390.59;-8.73
69.86;390.71;-8.67
69.88;390.83;-8.34
69.9;390.95;-9.24
69.92;391.07;-9.65
69.94;391.19;-9.33
69.96;391.31;-9.09
69.99;391.43;-9.01
70.01;391.55;-9.32
70.03;391.67;-9.09
70.05;391.79;-9.26
70.07;391.91;-9.56
70.09;392.03;-9.19
70.11;392.15;-9.36
70.13;392.27;-9.52
70.15;392.39;-9.86
70.17;392.51;-9.74
70.19;392.63;-9.52
70.21;392.75;-9.07
70.24;392.87;-9.27
70.26;392.99;-9.22
70.28;393.11;-9.58
70.3;393.23;-9.49
70.32;393.35;-9.64
70.34;393.47;-9.25
70.36;393.59;-9,00
70.38;393.71;-9.19
70.4;393.83;-9.1
70.42;393.95;-8.2
70.44;394.07;-7.97
70.47;394.19;-8.1
70.49;394.31;-7.85
70.51;394.43;-8.18
70.55;394.67;-7.71
70.57;394.79;-7.72
70.59;394.91;-7.66
70.61;395.03;-7.95
70.63;395.15;-7.55
70.65;395.27;-7.69
70.67;395.39;-7.79
70.7;395.51;-7.47
70.72;395.63;-7.58
70.74;395.75;-7.5
70.76;395.87;-7.22
70.78;395.99;-7.58
70.8;396.11;-7.77
70.82;396.23;-7.66
70.84;396.35;-7.65
70.86;396.47;-7.81
70.88;396.59;-7.76
70.9;396.71;-7.46
70.93;396.83;-7.61
70.95;396.95;-7.72
70.97;397.07;-7.73
70.99;397.19;-7.68
71.01;397.31;-7.66
71.03;397.43;-7.8
71.05;397.55;-7.91
71.07;397.67;-7.76
71.09;397.79;-7.82
71.11;397.91;-7.62
71.13;398.03;-7.69
71.15;398.15;-7.75
71.16;398.27;-7.91
71.18;398.39;-7.55
71.19;398.51;-7.62
71.21;398.63;-7.57
71.23;398.75;-7.51
71.24;398.87;-7.3
71.26;398.99;-7.45
71.27;399.11;-7.36
71.29;399.23;-7.39
71.31;399.35;-7.72
71.32;399.47;-7.72
71.34;399.59;-8.09
71.36;399.71;-7.61
71.37;399.83;-7.78
71.39;399.95;-7.48
71.4;400.07;-7.64
71.42;400.19;-7.64
71.44;400.31;-7.77
71.45;400.43;-7.82
71.47;400.55;-8.07
71.48;400.67;-8.09
71.5;400.79;-7.92
71.52;400.91;-7.74
71.53;401.03;-7.98
71.55;401.15;-8.02
71.57;401.27;-7.97
71.58;401.39;-8.1
71.6;401.51;-8.11
71.61;401.63;-8.08
71.63;401.75;-8.36
71.65;401.87;-8.12
71.66;401.99;-7.95
71.68;402.11;-8,00
71.69;402.23;-7.96
71.71;402.35;-7.99
71.73;402.47;-7.72
71.74;402.59;-7.8
71.76;402.71;-7.88
71.77;402.83;-7.86
71.79;402.95;-7.82
71.81;403.07;-8.12
71.82;403.19;-8.3
71.84;403.31;-8.09
71.86;403.43;-8.1
71.87;403.55;-8.01
71.89;403.67;-8.02
71.9;403.79;-8.44
71.92;403.91;-8.69
71.94;404.03;-8.63
71.95;404.15;-8.73
71.97;404.27;-8.59
71.98;404.39;-8.94
72,00;404.51;-8.91
72.02;404.63;-8.93
72.03;404.75;-8.76
72.07;404.99;-8.91
72.08;405.11;-9,00
72.1;405.23;-9.03
72.11;405.35;-8.94
72.13;405.47;-8.92
72.15;405.59;-8.97
72.16;405.71;-9,00
72.18;405.83;-9.02
72.19;405.95;-9.76
72.21;406.07;-8.97
72.23;406.19;-8.99
72.24;406.31;-9.04
72.27;406.55;-9.12
72.29;406.67;-9.36
72.32;406.79;-9.28
72.34;406.91;-9.25
72.36;407.03;-9.25
72.39;407.15;-9,00
72.41;407.27;-9.07
72.44;407.39;-9.19
72.46;407.51;-9.24
72.48;407.63;-9.24
72.51;407.75;-9.07
72.53;407.87;-9.14
72.56;407.99;-9.06
72.58;408.11;-8.86
72.6;408.23;-9.16
72.63;408.35;-9.07
72.65;408.47;-9.01
72.68;408.59;-9.16
72.7;408.71;-9.01
72.72;408.83;-9.04
72.75;408.95;-9.03
72.77;409.07;-9.03
72.8;409.19;-9.05
72.82;409.31;-9.13
72.84;409.43;-9.04
72.87;409.55;-9.06
72.89;409.67;-8.9
72.92;409.79;-8.96
72.94;409.91;-8.83
72.97;410.03;-8.98
72.99;410.15;-8.85
73.01;410.27;-8.58
73.04;410.39;-8.61
73.06;410.51;-8.75
73.09;410.63;-8.99
73.11;410.75;-8.61
73.13;410.87;-8.77
73.16;410.99;-8.93
73.18;411.11;-8.88
73.21;411.23;-8.94
73.23;411.35;-9.06
73.25;411.47;-8.84
73.28;411.59;-8.73
73.3;411.71;-8.57
73.33;411.83;-8.38
73.35;411.95;-8.28
73.37;412.07;-8.35
73.4;412.19;-8.48
73.42;412.31;-8.88
73.45;412.43;-8.73
73.47;412.55;-8.66
73.5;412.67;-8.66
73.52;412.79;-8.7
73.54;412.91;-8.86
73.57;413.03;-8.87
73.59;413.15;-8.92
73.62;413.27;-8.83
73.64;413.39;-9.03
73.66;413.51;-9.4
73.69;413.63;-9.19
